epsilon,samples,is_ef1,epsilon_ef1,max_ef1_violation,estimation_error_mean,estimation_error_max,trial,n_agents,n_items,valuation_class,theoretical
0.049999999999999996,459600,True,True,0.0,0.001824463352574972,0.02050614201347043,0,3,10,additive,680647.376234505
0.049999999999999996,459600,True,True,0.0,0.0016058660722020007,0.022159141335879262,1,3,10,additive,680647.376234505
0.049999999999999996,459600,True,True,0.0,0.0003058376682451319,0.0010263316565004565,2,3,10,additive,680647.376234505
0.049999999999999996,459600,True,True,0.0,0.002747305751170079,0.020290631055899986,3,3,10,additive,680647.376234505
0.049999999999999996,459600,True,True,0.0,0.002306631602339827,0.023348685885644316,4,3,10,additive,680647.376234505
0.1,114900,True,True,0.0,0.0023543397578587562,0.017278116455754278,0,3,10,additive,170161.8440586262
0.1,114900,True,True,0.0,0.0014164157285565418,0.019917160673655863,1,3,10,additive,170161.8440586262
0.1,114900,True,True,0.0,0.001717850103514177,0.016260799762215915,2,3,10,additive,170161.8440586262
0.1,114900,True,True,0.0,0.001349917296265469,0.010943329024588277,3,3,10,additive,170161.8440586262
0.1,114900,True,True,0.0,0.001515017864889984,0.016967029916908904,4,3,10,additive,170161.8440586262
0.2,28740,True,True,0.0,0.0023656730466326483,0.020368016668548476,0,3,10,additive,42540.46101465655
0.2,28740,True,True,0.0,0.002293172052395606,0.015877095118523213,1,3,10,additive,42540.46101465655
0.2,28740,True,True,0.0,0.0020531243802418982,0.01218212485835457,2,3,10,additive,42540.46101465655
0.2,28740,True,True,0.0,0.002179960153536815,0.017330293140833675,3,3,10,additive,42540.46101465655
0.2,28740,True,True,0.0,0.0018018810414786378,0.006753615185086215,4,3,10,additive,42540.46101465655
