n_agents,n_items,epsilon,samples,runtime_seconds,is_ef1,epsilon_ef1,max_ef1_violation,trial
2,10,0.15,31180,0.24409272000002602,True,True,0.0,0
2,10,0.15,31180,0.23302673599982882,True,True,0.0,1
2,10,0.15,31180,0.23792787399997906,True,True,0.0,2
2,20,0.15,62360,0.4705842160001339,True,True,0.0,0
2,20,0.15,62360,0.479325875999848,True,True,0.0,1
2,20,0.15,62360,0.46885670099982235,True,True,0.0,2
2,30,0.15,93540,0.7033371420000094,True,True,0.0,0
2,30,0.15,93540,0.7298838140000043,True,True,0.0,1
2,30,0.15,93540,0.729635313000017,True,True,0.0,2
5,10,0.15,94200,0.7221607999999833,True,True,0.0,0
5,10,0.15,94200,0.7090436020000652,True,True,0.0,1
5,10,0.15,94200,0.6894973250000476,True,True,0.0,2
5,20,0.15,188400,1.4544163119999212,True,True,0.0,0
5,20,0.15,188400,1.4051581490000444,True,True,0.0,1
5,20,0.15,188400,1.4230269229999521,True,True,0.0,2
5,30,0.15,282600,2.13716330200009,True,True,0.0,0
5,30,0.15,282600,2.0745465560000866,True,True,0.0,1
5,30,0.15,282600,2.123295725999924,True,True,0.0,2
8,10,0.15,164080,1.2629669719999583,True,True,0.0,0
8,10,0.15,164080,1.2197859390000758,True,True,0.0,1
8,10,0.15,164080,1.2364720999999008,True,True,0.0,2
8,20,0.15,328160,2.446619882999812,True,True,0.0,0
8,20,0.15,328160,2.4500839740001084,True,True,0.0,1
8,20,0.15,328160,2.4979077139998935,True,True,0.0,2
8,30,0.15,492240,3.699799410999958,True,True,0.0,0
8,30,0.15,492240,3.8194741900001645,True,True,0.0,1
8,30,0.15,492240,3.5274135669999396,True,True,0.0,2
